Area,Company,Date,VarAll,ValueAll
北方区 BAI SHAN LIN,3204乌鲁木齐正大-阿克苏,2021-02-01,1Cap2021,7500.0
北方区 BAI SHAN LIN,0329兰州正大-张掖分公司,2021-02-01,1Cap2021,15000.0
北方区 BAI SHAN LIN,0318渭南正大,2021-02-01,1Cap2021,15000.0
中东南区 HUO ER FENG,0403合肥正大,2021-02-01,1Cap2021,22500.0
中东南区 HUO ER FENG,0406滁州正大,2021-02-01,1Cap2021,10000.0
中东南区 HUO ER FENG,0502开封正大,2021-02-01,1Cap2021,15000.0
中东南区 HUO ER FENG,0506驻马店正大,2021-02-01,1Cap2021,10000.0
中东南区 HUO ER FENG,0510河南东方,2021-02-01,1Cap2021,20000.0
中东南区 HUO ER FENG,0511平顶山正大,2021-02-01,1Cap2021,12000.0
中东南区 HUO ER FENG,0560周口正大,2021-02-01,1Cap2021,15000.0
中东南区 HUO ER FENG,0518南阳正大,2021-02-01,1Cap2021,25000.0
中东南区 HUO ER FENG,0702宁波正大,2021-02-01,1Cap2021,10000.0
中东南区 HUO ER FENG,0804福州大福(饲料),2021-02-01,1Cap2021,10000.0
中东南区 HUO ER FENG,0805厦门正大(饲料),2021-02-01,1Cap2021,10000.0
中东南区 HUO ER FENG,0862海南农牧,2021-02-01,1Cap2021,8400.0
中南区 ZHOU YONG SHUN,0504武汉正大(饲料),2021-02-01,1Cap2021,20000.0
中南区 ZHOU YONG SHUN,0569武汉水产,2021-02-01,1Cap2021,0.0
中南区 ZHOU YONG SHUN,1513武汉正大仙桃分公司,2021-02-01,1Cap2021,0.0
中南区 ZHOU YONG SHUN,0514襄阳正大,2021-02-01,1Cap2021,75000.0
中南区 ZHOU YONG SHUN,1516襄阳正大宜城分公司,2021-02-01,1Cap2021,10000.0
中南区 ZHOU YONG SHUN,0505宜昌正大,2021-02-01,1Cap2021,12000.0
中南区 ZHOU YONG SHUN,0572潜江正大,2021-02-01,1Cap2021,15000.0
中南区 ZHOU YONG SHUN,0507怀化正大,2021-02-01,1Cap2021,14000.0
中南区 ZHOU YONG SHUN,0501正大岳阳(饲料),2021-02-01,1Cap2021,8000.0
中南区 ZHOU YONG SHUN,0515长沙正大,2021-02-01,1Cap2021,20000.0
中南区 ZHOU YONG SHUN,1504长沙正大有限公司益阳水产分公司,2021-02-01,1Cap2021,0.0
中南区 ZHOU YONG SHUN,1515衡阳饲料,2021-02-01,1Cap2021,15000.0
中南区 ZHOU YONG SHUN,0802南昌正大,2021-02-01,1Cap2021,13000.0
中南区 ZHOU YONG SHUN,0803九江正大,2021-02-01,1Cap2021,15000.0
中南区 ZHOU YONG SHUN,0604南宁正大,2021-02-01,1Cap2021,
中南区 ZHOU YONG SHUN,0661武宣正大,2021-02-01,1Cap2021,15000.0
中南区 ZHOU YONG SHUN,0613桂林正大,2021-02-01,1Cap2021,10000.0
中南区 ZHOU YONG SHUN,0821阳江正大,2021-02-01,1Cap2021,0.0
中南区 ZHOU YONG SHUN,0619卜蜂水产（北海）,2021-02-01,1Cap2021,0.0
西南区 BAI YU FEI,0601成都正大,2021-02-01,1Cap2021,23300.0
西南区 BAI YU FEI,0603昆明正大,2021-02-01,1Cap2021,15500.0
西南区 BAI YU FEI,0659大理正大,2021-02-01,1Cap2021,7500.0
西南区 BAI YU FEI,0605内江正大,2021-02-01,1Cap2021,15000.0
西南区 BAI YU FEI,0607双流正大,2021-02-01,1Cap2021,0.0
西南区 BAI YU FEI,0602重庆正大,2021-02-01,1Cap2021,15000.0
西南区 BAI YU FEI,0609双桥正大,2021-02-01,1Cap2021,15000.0
西南区 BAI YU FEI,0621贵阳正大,2021-02-01,1Cap2021,15000.0
西南区 BAI YU FEI,0616广安正大,2021-02-01,1Cap2021,10000.0
京津冀区 LI QING HE,0107石家庄正大,2021-02-01,1Cap2021,15000.0
京津冀区 LI QING HE,0110邯郸正大,2021-02-01,1Cap2021,5000.0
京津冀区 LI QING HE,0114天津农牧,2021-02-01,1Cap2021,15000.0
山东江苏区 JIANG BO,0424青岛农业,2021-02-01,1Cap2021,15000.0
山东江苏区 JIANG BO,0405徐州正大,2021-02-01,1Cap2021,8000.0
山东江苏区 JIANG BO,0407连云港正大,2021-02-01,1Cap2021,10000.0
山东江苏区 JIANG BO,0408南通正大,2021-02-01,1Cap2021,15000.0
山东江苏区 JIANG BO,0410泰州正大,2021-02-01,1Cap2021,7000.0
山东江苏区 JIANG BO,0412淮阴正大,2021-02-01,1Cap2021,17000.0
一条龙 YU JIAN PING,0438青岛农业-城阳,2021-03-01,1Cap2021,18000.0
一条龙 YU JIAN PING,011301秦皇岛正大,2021-03-01,1Cap2021,12000.0
一条龙 YU JIAN PING,0128北京正大蛋业（平谷）,2021-03-01,1Cap2021,10000.0
一条龙 YU JIAN PING,0846湛江饲料,2021-03-01,1Cap2021,10000.0
一条龙 YU JIAN PING,0175衡水正大,2021-03-01,1Cap2021,22500.0
一条龙 YU JIAN PING,0589湖北正大,2021-03-01,1Cap2021,27500.0
北方区 BAI SHAN LIN,0212吉林实业(饲料),2021-03-01,1Cap2021,20000.0
北方区 BAI SHAN LIN,0213正大永吉,2021-03-01,1Cap2021,13000.0
北方区 BAI SHAN LIN,0203沈阳正大,2021-03-01,1Cap2021,14000.0
北方区 BAI SHAN LIN,0204葫芦岛正大,2021-03-01,1Cap2021,9000.0
北方区 BAI SHAN LIN,0302山西正大,2021-03-01,1Cap2021,20000.0
北方区 BAI SHAN LIN,0303陕西正大,2021-03-01,1Cap2021,23500.0
北方区 BAI SHAN LIN,0305内蒙古正大,2021-03-01,1Cap2021,19500.0
北方区 BAI SHAN LIN,0323内蒙-五原,2021-03-01,1Cap2021,7500.0
北方区 BAI SHAN LIN,0170张家口正大,2021-03-01,1Cap2021,22500.0
北方区 BAI SHAN LIN,0301兰州正大,2021-03-01,1Cap2021,23000.0
北方区 BAI SHAN LIN,0304乌鲁木齐正大,2021-03-01,1Cap2021,23500.0
北方区 BAI SHAN LIN,0306银川正大,2021-03-01,1Cap2021,12500.0
北方区 BAI SHAN LIN,0322兰州正大-泾川,2021-03-01,1Cap2021,15000.0
北方区 BAI SHAN LIN,3204乌鲁木齐正大-阿克苏,2021-03-01,1Cap2021,7500.0
北方区 BAI SHAN LIN,0329兰州正大-张掖分公司,2021-03-01,1Cap2021,15000.0
北方区 BAI SHAN LIN,0318渭南正大,2021-03-01,1Cap2021,15000.0
中东南区 HUO ER FENG,0403合肥正大,2021-03-01,1Cap2021,22500.0
中东南区 HUO ER FENG,0406滁州正大,2021-03-01,1Cap2021,10000.0
中东南区 HUO ER FENG,0502开封正大,2021-03-01,1Cap2021,15000.0
中东南区 HUO ER FENG,0506驻马店正大,2021-03-01,1Cap2021,10000.0
中东南区 HUO ER FENG,0510河南东方,2021-03-01,1Cap2021,20000.0
中东南区 HUO ER FENG,0511平顶山正大,2021-03-01,1Cap2021,12000.0
中东南区 HUO ER FENG,0560周口正大,2021-03-01,1Cap2021,15000.0
中东南区 HUO ER FENG,0518南阳正大,2021-03-01,1Cap2021,25000.0
中东南区 HUO ER FENG,0702宁波正大,2021-03-01,1Cap2021,17500.0
中东南区 HUO ER FENG,0804福州大福(饲料),2021-03-01,1Cap2021,20500.0
中东南区 HUO ER FENG,0805厦门正大(饲料),2021-03-01,1Cap2021,10000.0
中东南区 HUO ER FENG,0862海南农牧,2021-03-01,1Cap2021,8400.0
中南区 ZHOU YONG SHUN,0504武汉正大(饲料),2021-03-01,1Cap2021,20000.0
中南区 ZHOU YONG SHUN,0569武汉水产,2021-03-01,1Cap2021,13500.0
中南区 ZHOU YONG SHUN,1513武汉正大仙桃分公司,2021-03-01,1Cap2021,6250.0
中南区 ZHOU YONG SHUN,0514襄阳正大,2021-03-01,1Cap2021,75000.0
中南区 ZHOU YONG SHUN,1516襄阳正大宜城分公司,2021-03-01,1Cap2021,10000.0
中南区 ZHOU YONG SHUN,0505宜昌正大,2021-03-01,1Cap2021,15000.0
中南区 ZHOU YONG SHUN,0572潜江正大,2021-03-01,1Cap2021,15000.0
中南区 ZHOU YONG SHUN,0507怀化正大,2021-03-01,1Cap2021,14000.0
中南区 ZHOU YONG SHUN,0501正大岳阳(饲料),2021-03-01,1Cap2021,9000.0
中南区 ZHOU YONG SHUN,0515长沙正大,2021-03-01,1Cap2021,20000.0
中南区 ZHOU YONG SHUN,1504长沙正大有限公司益阳水产分公司,2021-03-01,1Cap2021,7500.0
中南区 ZHOU YONG SHUN,1515衡阳饲料,2021-03-01,1Cap2021,15000.0
中南区 ZHOU YONG SHUN,0802南昌正大,2021-03-01,1Cap2021,15000.0
中南区 ZHOU YONG SHUN,0803九江正大,2021-03-01,1Cap2021,22500.0
中南区 ZHOU YONG SHUN,0604南宁正大,2021-03-01,1Cap2021,
中南区 ZHOU YONG SHUN,0661武宣正大,2021-03-01,1Cap2021,15000.0
中南区 ZHOU YONG SHUN,0613桂林正大,2021-03-01,1Cap2021,10500.0
中南区 ZHOU YONG SHUN,0821阳江正大,2021-03-01,1Cap2021,5100.0
中南区 ZHOU YONG SHUN,0619卜蜂水产（北海）,2021-03-01,1Cap2021,5750.0
西南区 BAI YU FEI,0601成都正大,2021-03-01,1Cap2021,25300.0
西南区 BAI YU FEI,0603昆明正大,2021-03-01,1Cap2021,24550.0
西南区 BAI YU FEI,0659大理正大,2021-03-01,1Cap2021,7500.0
西南区 BAI YU FEI,0605内江正大,2021-03-01,1Cap2021,15000.0
西南区 BAI YU FEI,0607双流正大,2021-03-01,1Cap2021,9000.0
西南区 BAI YU FEI,0602重庆正大,2021-03-01,1Cap2021,15000.0
西南区 BAI YU FEI,0609双桥正大,2021-03-01,1Cap2021,15000.0
西南区 BAI YU FEI,0621贵阳正大,2021-03-01,1Cap2021,15000.0
西南区 BAI YU FEI,0616广安正大,2021-03-01,1Cap2021,10000.0
京津冀区 LI QING HE,0107石家庄正大,2021-03-01,1Cap2021,15000.0
京津冀区 LI QING HE,0110邯郸正大,2021-03-01,1Cap2021,5000.0
京津冀区 LI QING HE,0114天津农牧,2021-03-01,1Cap2021,15000.0
山东江苏区 JIANG BO,0424青岛农业,2021-03-01,1Cap2021,15000.0
山东江苏区 JIANG BO,0405徐州正大,2021-03-01,1Cap2021,8000.0
山东江苏区 JIANG BO,0407连云港正大,2021-03-01,1Cap2021,10000.0
山东江苏区 JIANG BO,0408南通正大,2021-03-01,1Cap2021,15000.0
山东江苏区 JIANG BO,0410泰州正大,2021-03-01,1Cap2021,7000.0
山东江苏区 JIANG BO,0412淮阴正大,2021-03-01,1Cap2021,17000.0
一条龙 YU JIAN PING,0438青岛农业-城阳,2021-04-01,1Cap2021,18000.0
一条龙 YU JIAN PING,011301秦皇岛正大,2021-04-01,1Cap2021,12000.0
一条龙 YU JIAN PING,0128北京正大蛋业（平谷）,2021-04-01,1Cap2021,10000.0
一条龙 YU JIAN PING,0846湛江饲料,2021-04-01,1Cap2021,10000.0
一条龙 YU JIAN PING,0175衡水正大,2021-04-01,1Cap2021,22500.0
一条龙 YU JIAN PING,0589湖北正大,2021-04-01,1Cap2021,27500.0
北方区 BAI SHAN LIN,0212吉林实业(饲料),2021-04-01,1Cap2021,20000.0
北方区 BAI SHAN LIN,0213正大永吉,2021-04-01,1Cap2021,14000.0
北方区 BAI SHAN LIN,0203沈阳正大,2021-04-01,1Cap2021,19000.0
北方区 BAI SHAN LIN,0204葫芦岛正大,2021-04-01,1Cap2021,9000.0
北方区 BAI SHAN LIN,0302山西正大,2021-04-01,1Cap2021,20000.0
北方区 BAI SHAN LIN,0303陕西正大,2021-04-01,1Cap2021,25000.0
北方区 BAI SHAN LIN,0305内蒙古正大,2021-04-01,1Cap2021,22000.0
北方区 BAI SHAN LIN,0323内蒙-五原,2021-04-01,1Cap2021,7500.0
北方区 BAI SHAN LIN,0170张家口正大,2021-04-01,1Cap2021,22500.0
北方区 BAI SHAN LIN,0301兰州正大,2021-04-01,1Cap2021,26000.0
北方区 BAI SHAN LIN,0304乌鲁木齐正大,2021-04-01,1Cap2021,25000.0
北方区 BAI SHAN LIN,0306银川正大,2021-04-01,1Cap2021,12500.0
北方区 BAI SHAN LIN,0322兰州正大-泾川,2021-04-01,1Cap2021,15000.0
北方区 BAI SHAN LIN,3204乌鲁木齐正大-阿克苏,2021-04-01,1Cap2021,7500.0
北方区 BAI SHAN LIN,0329兰州正大-张掖分公司,2021-04-01,1Cap2021,15000.0
北方区 BAI SHAN LIN,0318渭南正大,2021-04-01,1Cap2021,15000.0
中东南区 HUO ER FENG,0403合肥正大,2021-04-01,1Cap2021,22500.0
中东南区 HUO ER FENG,0406滁州正大,2021-04-01,1Cap2021,10000.0
中东南区 HUO ER FENG,0502开封正大,2021-04-01,1Cap2021,25000.0
中东南区 HUO ER FENG,0506驻马店正大,2021-04-01,1Cap2021,10000.0
中东南区 HUO ER FENG,0510河南东方,2021-04-01,1Cap2021,20000.0
中东南区 HUO ER FENG,0511平顶山正大,2021-04-01,1Cap2021,12000.0
中东南区 HUO ER FENG,0560周口正大,2021-04-01,1Cap2021,15000.0
中东南区 HUO ER FENG,0518南阳正大,2021-04-01,1Cap2021,25000.0
中东南区 HUO ER FENG,0702宁波正大,2021-04-01,1Cap2021,17500.0
中东南区 HUO ER FENG,0804福州大福(饲料),2021-04-01,1Cap2021,20500.0
中东南区 HUO ER FENG,0805厦门正大(饲料),2021-04-01,1Cap2021,10000.0
中东南区 HUO ER FENG,0862海南农牧,2021-04-01,1Cap2021,8400.0
中南区 ZHOU YONG SHUN,0504武汉正大(饲料),2021-04-01,1Cap2021,20000.0
中南区 ZHOU YONG SHUN,0569武汉水产,2021-04-01,1Cap2021,13500.0
中南区 ZHOU YONG SHUN,1513武汉正大仙桃分公司,2021-04-01,1Cap2021,6250.0
中南区 ZHOU YONG SHUN,0514襄阳正大,2021-04-01,1Cap2021,75000.0
中南区 ZHOU YONG SHUN,1516襄阳正大宜城分公司,2021-04-01,1Cap2021,10000.0
中南区 ZHOU YONG SHUN,0505宜昌正大,2021-04-01,1Cap2021,15000.0
中南区 ZHOU YONG SHUN,0572潜江正大,2021-04-01,1Cap2021,15000.0
中南区 ZHOU YONG SHUN,0507怀化正大,2021-04-01,1Cap2021,14000.0
中南区 ZHOU YONG SHUN,0501正大岳阳(饲料),2021-04-01,1Cap2021,9000.0
中南区 ZHOU YONG SHUN,0515长沙正大,2021-04-01,1Cap2021,20000.0
中南区 ZHOU YONG SHUN,1504长沙正大有限公司益阳水产分公司,2021-04-01,1Cap2021,7500.0
中南区 ZHOU YONG SHUN,1515衡阳饲料,2021-04-01,1Cap2021,15000.0
中南区 ZHOU YONG SHUN,0802南昌正大,2021-04-01,1Cap2021,15000.0
中南区 ZHOU YONG SHUN,0803九江正大,2021-04-01,1Cap2021,22500.0
中南区 ZHOU YONG SHUN,0604南宁正大,2021-04-01,1Cap2021,
中南区 ZHOU YONG SHUN,0661武宣正大,2021-04-01,1Cap2021,15000.0
中南区 ZHOU YONG SHUN,0613桂林正大,2021-04-01,1Cap2021,10500.0
中南区 ZHOU YONG SHUN,0821阳江正大,2021-04-01,1Cap2021,5100.0
中南区 ZHOU YONG SHUN,0619卜蜂水产（北海）,2021-04-01,1Cap2021,5750.0
西南区 BAI YU FEI,0601成都正大,2021-04-01,1Cap2021,25300.0
西南区 BAI YU FEI,0603昆明正大,2021-04-01,1Cap2021,24550.0
西南区 BAI YU FEI,0659大理正大,2021-04-01,1Cap2021,7500.0
西南区 BAI YU FEI,0605内江正大,2021-04-01,1Cap2021,15000.0
西南区 BAI YU FEI,0607双流正大,2021-04-01,1Cap2021,9000.0
西南区 BAI YU FEI,0602重庆正大,2021-04-01,1Cap2021,15000.0
西南区 BAI YU FEI,0609双桥正大,2021-04-01,1Cap2021,15000.0
西南区 BAI YU FEI,0621贵阳正大,2021-04-01,1Cap2021,15000.0
西南区 BAI YU FEI,0616广安正大,2021-04-01,1Cap2021,10000.0
京津冀区 LI QING HE,0107石家庄正大,2021-04-01,1Cap2021,15000.0
京津冀区 LI QING HE,0110邯郸正大,2021-04-01,1Cap2021,5000.0
京津冀区 LI QING HE,0114天津农牧,2021-04-01,1Cap2021,25000.0
山东江苏区 JIANG BO,0424青岛农业,2021-04-01,1Cap2021,17000.0
山东江苏区 JIANG BO,0405徐州正大,2021-04-01,1Cap2021,8000.0
山东江苏区 JIANG BO,0407连云港正大,2021-04-01,1Cap2021,20000.0
山东江苏区 JIANG BO,0408南通正大,2021-04-01,1Cap2021,15000.0
山东江苏区 JIANG BO,0410泰州正大,2021-04-01,1Cap2021,16000.0
山东江苏区 JIANG BO,0412淮阴正大,2021-04-01,1Cap2021,17000.0
一条龙 YU JIAN PING,0438青岛农业-城阳,2021-05-01,1Cap2021,18000.0
一条龙 YU JIAN PING,011301秦皇岛正大,2021-05-01,1Cap2021,12000.0
一条龙 YU JIAN PING,0128北京正大蛋业（平谷）,2021-05-01,1Cap2021,10000.0
一条龙 YU JIAN PING,0846湛江饲料,2021-05-01,1Cap2021,10000.0
一条龙 YU JIAN PING,0175衡水正大,2021-05-01,1Cap2021,22500.0
一条龙 YU JIAN PING,0589湖北正大,2021-05-01,1Cap2021,27500.0
北方区 BAI SHAN LIN,0212吉林实业(饲料),2021-05-01,1Cap2021,20000.0
北方区 BAI SHAN LIN,0213正大永吉,2021-05-01,1Cap2021,14000.0
北方区 BAI SHAN LIN,0203沈阳正大,2021-05-01,1Cap2021,19000.0
北方区 BAI SHAN LIN,0204葫芦岛正大,2021-05-01,1Cap2021,9000.0
北方区 BAI SHAN LIN,0302山西正大,2021-05-01,1Cap2021,20000.0
北方区 BAI SHAN LIN,0303陕西正大,2021-05-01,1Cap2021,25000.0
北方区 BAI SHAN LIN,0305内蒙古正大,2021-05-01,1Cap2021,22000.0
北方区 BAI SHAN LIN,0323内蒙-五原,2021-05-01,1Cap2021,7500.0
北方区 BAI SHAN LIN,0170张家口正大,2021-05-01,1Cap2021,22500.0
北方区 BAI SHAN LIN,0301兰州正大,2021-05-01,1Cap2021,26000.0
北方区 BAI SHAN LIN,0304乌鲁木齐正大,2021-05-01,1Cap2021,25000.0
北方区 BAI SHAN LIN,0306银川正大,2021-05-01,1Cap2021,12500.0
北方区 BAI SHAN LIN,0322兰州正大-泾川,2021-05-01,1Cap2021,15000.0
北方区 BAI SHAN LIN,3204乌鲁木齐正大-阿克苏,2021-05-01,1Cap2021,7500.0
北方区 BAI SHAN LIN,0329兰州正大-张掖分公司,2021-05-01,1Cap2021,15000.0
